,drug_id,name,type,class,moa,description,quesion,option_A,option_B,option_C,option_D,option_E,answers
14,DB00222,Glimepiride,small molecule,Benzenoids,inducer | inhibitor,"First introduced in 1995, glimepiride is a member of the second-generation sulfonylurea (SU) drug class used for the management of type 2 diabetes mellitus (T2DM) to improve glycemic control. Type 2 diabetes is a metabolic disorder with increasing prevalences worldwide; it is characterized by insulin resistance in accordance with progressive β cell failure and long-term microvascular and macrovascular complications that lead to co-morbidities and mortalities. Sulfonylureas are one of the insulin secretagogues widely used for the management of type 2 diabetes to lower blood glucose levels. The main effect of SUs is thought to be effective when residual pancreatic β-cells are present,[A177715] as they work by stimulating the release of insulin from the pancreatic beta cells and they are also thought to exert extra-pancreatic effects, such as increasing the insulin-mediated peripheral glucose uptake.[A177709] 

Glimepiride works by stimulating the secretion of insulin granules from pancreatic islet beta cells by blocking ATP-sensitive potassium channels (K<SUB>ATP</SUB> channels) and causing depolarization of the beta cells. Compared to [glipizide], another second SU drug, glimepiride has a longer duration of action. It is sometimes classified as a third-generation SU because it has larger substitutions than other second-generation SUs.[A177703] Compared to other SUs, glimepiride was associated with a lower risk of developing hypoglycemia and weight gain in clinical trials [A177709] as well as fewer cardiovascular effects than other SUs due to minimal effects on ischemic preconditioning of cardiac myocytes.[A177703] It is effective in reducing fasting plasma glucose, postprandial glucose, and glycosylated hemoglobin levels and is considered to be a useful, cost-effective treatment option for managing type 2 diabetes mellitus.[A177703] Glimepiride was approved by the Food and Drug Administration (FDA) in the United States in 1995 for the treatment of T2DM. It is commonly marketed under the brand name Amaryl as oral tablets and is typically administered once daily.",Which enzyme is primarily responsible for the metabolism of Glimepiride?,CYP3A4,CYP2C9,CYP1A2,CYP2D6,CYP2E1,B
15,DB00222,Glimepiride,small molecule,Benzenoids,inducer | inhibitor,"First introduced in 1995, glimepiride is a member of the second-generation sulfonylurea (SU) drug class used for the management of type 2 diabetes mellitus (T2DM) to improve glycemic control. Type 2 diabetes is a metabolic disorder with increasing prevalences worldwide; it is characterized by insulin resistance in accordance with progressive β cell failure and long-term microvascular and macrovascular complications that lead to co-morbidities and mortalities. Sulfonylureas are one of the insulin secretagogues widely used for the management of type 2 diabetes to lower blood glucose levels. The main effect of SUs is thought to be effective when residual pancreatic β-cells are present,[A177715] as they work by stimulating the release of insulin from the pancreatic beta cells and they are also thought to exert extra-pancreatic effects, such as increasing the insulin-mediated peripheral glucose uptake.[A177709] 

Glimepiride works by stimulating the secretion of insulin granules from pancreatic islet beta cells by blocking ATP-sensitive potassium channels (K<SUB>ATP</SUB> channels) and causing depolarization of the beta cells. Compared to [glipizide], another second SU drug, glimepiride has a longer duration of action. It is sometimes classified as a third-generation SU because it has larger substitutions than other second-generation SUs.[A177703] Compared to other SUs, glimepiride was associated with a lower risk of developing hypoglycemia and weight gain in clinical trials [A177709] as well as fewer cardiovascular effects than other SUs due to minimal effects on ischemic preconditioning of cardiac myocytes.[A177703] It is effective in reducing fasting plasma glucose, postprandial glucose, and glycosylated hemoglobin levels and is considered to be a useful, cost-effective treatment option for managing type 2 diabetes mellitus.[A177703] Glimepiride was approved by the Food and Drug Administration (FDA) in the United States in 1995 for the treatment of T2DM. It is commonly marketed under the brand name Amaryl as oral tablets and is typically administered once daily.",What is the effect of Glimepiride on glycated hemoglobin (HbA1C) levels?,levels?,No significant effect,Increases HbA1C levels,Reduces HbA1C levels,Variable effects on HbA1C levels,C
16,DB00330,Ethambutol,small molecule,Organic nitrogen compounds,inhibitor,"Ethambutol is a bacteriostatic agent indicated alongside medications such as [isoniazid], [rifampin], and [pyrazinamide] in the treatment of pulmonary tuberculosis.[L31743] Ethambutol was first described in the literature in 1961.[A229048] It was developed out of a need for therapies active against isoniazid resistant strains of _Mycobacterium tuberculosis_.[A229048]

Ethambutol was granted FDA approval on 6 November 1967.[L31663]",What is the mechanism of action of Ethambutol?,Inhibition of DNA replication,Inhibition of protein synthesis,Inhibition of arabinosyltransferases,Activation of mycolic acid synthesis,Enhancement of immune response,C
17,DB00330,Ethambutol,small molecule,Organic nitrogen compounds,inhibitor,"Ethambutol is a bacteriostatic agent indicated alongside medications such as [isoniazid], [rifampin], and [pyrazinamide] in the treatment of pulmonary tuberculosis.[L31743] Ethambutol was first described in the literature in 1961.[A229048] It was developed out of a need for therapies active against isoniazid resistant strains of _Mycobacterium tuberculosis_.[A229048]

Ethambutol was granted FDA approval on 6 November 1967.[L31663]",What are the common adverse effects associated with an overdose of Ethambutol?,Increased appetite,Optic neuropathy,Hypertension,Insomnia,Hair loss,B
18,DB00330,Ethambutol,small molecule,Organic nitrogen compounds,inhibitor,"Ethambutol is a bacteriostatic agent indicated alongside medications such as [isoniazid], [rifampin], and [pyrazinamide] in the treatment of pulmonary tuberculosis.[L31743] Ethambutol was first described in the literature in 1961.[A229048] It was developed out of a need for therapies active against isoniazid resistant strains of _Mycobacterium tuberculosis_.[A229048]

Ethambutol was granted FDA approval on 6 November 1967.[L31663]",What is the bioavailability of oral Ethambutol?,25-30%,40-45%,50-55%,75-80%,90-95%,D
19,DB00330,Ethambutol,small molecule,Organic nitrogen compounds,inhibitor,"Ethambutol is a bacteriostatic agent indicated alongside medications such as [isoniazid], [rifampin], and [pyrazinamide] in the treatment of pulmonary tuberculosis.[L31743] Ethambutol was first described in the literature in 1961.[A229048] It was developed out of a need for therapies active against isoniazid resistant strains of _Mycobacterium tuberculosis_.[A229048]

Ethambutol was granted FDA approval on 6 November 1967.[L31663]",How is Ethambutol primarily eliminated from the body?,Through respiratory exhalation,Via the skin as sweat,In the urine as the unmetabolized parent compound and inactive metabolites,Through bile and feces exclusively,Metabolized completely without excretion,C
20,DB00350,Minoxidil,small molecule,Organic nitrogen compounds,unknown,A potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure.,What is the mechanism of action of Minoxidil when used as a vasodilator?,Inhibits calcium channels,Blocks beta-adrenergic receptors,Opens adenosine triphosphate-sensitive potassium channels,Inhibits phosphodiesterase,Blocks alpha-adrenergic receptors,C
21,DB00350,Minoxidil,small molecule,Organic nitrogen compounds,unknown,A potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure.,What additional therapeutic use does Minoxidil have besides treating hypertension?,Treating bacterial infections,Reducing fever,Treating androgenetic alopecia,Managing diabetes,Treating viral infections,C
22,DB00350,Minoxidil,small molecule,Organic nitrogen compounds,unknown,A potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure.,How is Minoxidil primarily metabolized in the body?,Through oxidative phosphorylation,By conjugation with glucuronic acid,Through hydrolysis,By cytochrome P450 enzymes,Through reduction reactions,B
23,DB00350,Minoxidil,small molecule,Organic nitrogen compounds,unknown,A potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure.,What is the primary route of administration for the topical treatment of hair loss with Minoxidil?,Oral,Intravenous,Subcutaneous,Topical,Inhalation,D
24,DB00355,Aztreonam,small molecule,Organoheterocyclic compounds,substrate | potentiator | inhibitor,"A monocyclic beta-lactam antibiotic originally isolated from Chromobacterium violaceum. It is resistant to beta-lactamases and is used in gram-negative infections, especially of the meninges, bladder, and kidneys. It may cause a superinfection with gram-positive organisms.",What type of antibiotic is Aztreonam?,Aminoglycoside,Monobactam,Tetracycline,Macrolide,Sulfonamide,B
25,DB00355,Aztreonam,small molecule,Organoheterocyclic compounds,substrate | potentiator | inhibitor,"A monocyclic beta-lactam antibiotic originally isolated from Chromobacterium violaceum. It is resistant to beta-lactamases and is used in gram-negative infections, especially of the meninges, bladder, and kidneys. It may cause a superinfection with gram-positive organisms.",Which organism was Aztreonam originally isolated from?,Escherichia coli,Staphylococcus aureus,Chromobacterium violaceum,Mycobacterium tuberculosis,Candida albicans,C
26,DB00355,Aztreonam,small molecule,Organoheterocyclic compounds,substrate | potentiator | inhibitor,"A monocyclic beta-lactam antibiotic originally isolated from Chromobacterium violaceum. It is resistant to beta-lactamases and is used in gram-negative infections, especially of the meninges, bladder, and kidneys. It may cause a superinfection with gram-positive organisms.",What is the primary mechanism of action of Aztreonam?,Disruption of DNA replication,Inhibition of protein synthesis,Inhibition of cell wall synthesis,Disruption of cell membrane integrity,Inhibition of metabolic pathways,C
27,DB00355,Aztreonam,small molecule,Organoheterocyclic compounds,substrate | potentiator | inhibitor,"A monocyclic beta-lactam antibiotic originally isolated from Chromobacterium violaceum. It is resistant to beta-lactamases and is used in gram-negative infections, especially of the meninges, bladder, and kidneys. It may cause a superinfection with gram-positive organisms.",How is Aztreonam primarily administered?,Orally,Topically,Intravenously,Inhalation,Subcutaneously,C
28,DB00376,Trihexyphenidyl,small molecule,Organic nitrogen compounds,antagonist,"Trihexyphenidyl is a centrally acting muscarinic antagonist used for treatment of parkinsonism and drug-induced extrapyramidal disorders.[L31773,L31778] Its discovery was published in 1949 in a study looking for drugs with antispasmodic activity.[A229103] Trihexyphenidyl is rarely used in the treatment of parkinsonism, and is not a first line treatment due to significant adverse effects.[L31843] It has largely been replaced by drugs such as [levodopa].[L31843]

Trihexyphenidyl was granted FDA approval on 13 May 1949.[L31768]",What is the mechanism of action of Trihexyphenidyl?,Dopamine reuptake inhibitor,Serotonin-norepinephrine reuptake inhibitor,Muscarinic acetylcholine receptor antagonist,Monoamine oxidase inhibitor,NMDA receptor antagonist,C
29,DB00376,Trihexyphenidyl,small molecule,Organic nitrogen compounds,antagonist,"Trihexyphenidyl is a centrally acting muscarinic antagonist used for treatment of parkinsonism and drug-induced extrapyramidal disorders.[L31773,L31778] Its discovery was published in 1949 in a study looking for drugs with antispasmodic activity.[A229103] Trihexyphenidyl is rarely used in the treatment of parkinsonism, and is not a first line treatment due to significant adverse effects.[L31843] It has largely been replaced by drugs such as [levodopa].[L31843]

Trihexyphenidyl was granted FDA approval on 13 May 1949.[L31768]",What are the symptoms of a Trihexyphenidyl overdose?,Hypotension and bradycardia,"Mydriasis, dry mouth, and hyperthermia",Seizures and hypoglycemia,Hair loss and weight gain,Increased appetite and insomnia,B
30,DB00376,Trihexyphenidyl,small molecule,Organic nitrogen compounds,antagonist,"Trihexyphenidyl is a centrally acting muscarinic antagonist used for treatment of parkinsonism and drug-induced extrapyramidal disorders.[L31773,L31778] Its discovery was published in 1949 in a study looking for drugs with antispasmodic activity.[A229103] Trihexyphenidyl is rarely used in the treatment of parkinsonism, and is not a first line treatment due to significant adverse effects.[L31843] It has largely been replaced by drugs such as [levodopa].[L31843]

Trihexyphenidyl was granted FDA approval on 13 May 1949.[L31768]",What is the mean elimination half-life of Trihexyphenidyl?,1.5 hours,2.0 hours,2.5 hours,3.2 hours,4.0 hours,D
31,DB00385,Valrubicin,small molecule,Phenylpropanoids and polyketides,intercalation | inhibitor,"Valrubicin (N-trifluoroacetyladriamycin-14-valerate) is a chemotherapy drug commonly marketed under the trade name VALSTAR.  It is a semisynthetic analog of the [doxorubicin], which is an anthracycline drug. Used in the treatment of the bladder cancer, valrubicin is administered by direct infusion into the bladder.",What is the mechanism of action of Valrubicin?,Hormone receptor blocking,Tyrosine kinase inhibition,DNA intercalation and topoisomerase II inhibition,Immune system modulation,Angiogenesis inhibition,C
32,DB00385,Valrubicin,small molecule,Phenylpropanoids and polyketides,intercalation | inhibitor,"Valrubicin (N-trifluoroacetyladriamycin-14-valerate) is a chemotherapy drug commonly marketed under the trade name VALSTAR.  It is a semisynthetic analog of the [doxorubicin], which is an anthracycline drug. Used in the treatment of the bladder cancer, valrubicin is administered by direct infusion into the bladder.",How is Valrubicin administered?,Orally,Intravenously,Intramuscularly,Intravesically,Subcutaneously,D
33,DB00385,Valrubicin,small molecule,Phenylpropanoids and polyketides,intercalation | inhibitor,"Valrubicin (N-trifluoroacetyladriamycin-14-valerate) is a chemotherapy drug commonly marketed under the trade name VALSTAR.  It is a semisynthetic analog of the [doxorubicin], which is an anthracycline drug. Used in the treatment of the bladder cancer, valrubicin is administered by direct infusion into the bladder.",What is the chemical classification of Valrubicin?,Alkylating agent,Anthracycline,Vinca alkaloid,Taxane,Corticosteroid,B
34,DB00385,Valrubicin,small molecule,Phenylpropanoids and polyketides,intercalation | inhibitor,"Valrubicin (N-trifluoroacetyladriamycin-14-valerate) is a chemotherapy drug commonly marketed under the trade name VALSTAR.  It is a semisynthetic analog of the [doxorubicin], which is an anthracycline drug. Used in the treatment of the bladder cancer, valrubicin is administered by direct infusion into the bladder.",What is a potential complication of Valrubicin overdose?,Hypertension,Irritable bladder symptoms,Severe headache,Acute renal failure,Cardiac arrest,B
35,DB00405,Dexbrompheniramine,small molecule,Organoheterocyclic compounds,antagonist,"Dexbrompheniramine maleate is an antihistamine agent that is used for the treatment of allergic conditions, such as hay fever or urticaria.",What is the mechanism of action of Dexbrompheniramine?,It increases the release of insulin,It blocks calcium channels,It inhibits the reuptake of serotonin,It competitively binds to histamine H1-receptors,It enhances the immune response,D
36,DB00405,Dexbrompheniramine,small molecule,Organoheterocyclic compounds,antagonist,"Dexbrompheniramine maleate is an antihistamine agent that is used for the treatment of allergic conditions, such as hay fever or urticaria.",What is the chemical class of Dexbrompheniramine?,Steroid,Beta-blocker,Pheniramine,ACE inhibitor,Diuretic,C
37,DB00405,Dexbrompheniramine,small molecule,Organoheterocyclic compounds,antagonist,"Dexbrompheniramine maleate is an antihistamine agent that is used for the treatment of allergic conditions, such as hay fever or urticaria.",What is the reported half-life of Dexbrompheniramine?,5 hours,10 hours,15 hours,20 hours,25 hours,E
38,DB00405,Dexbrompheniramine,small molecule,Organoheterocyclic compounds,antagonist,"Dexbrompheniramine maleate is an antihistamine agent that is used for the treatment of allergic conditions, such as hay fever or urticaria.",Which of the following is a salt form of Dexbrompheniramine?,Dexbrompheniramine sulfate,Dexbrompheniramine maleate,Dexbrompheniramine chloride,Dexbrompheniramine acetate,Dexbrompheniramine citrate,B
39,DB00459,Acitretin,small molecule,Lipids and lipid-like molecules,unknown,An oral retinoid effective in the treatment of psoriasis. It is the major metabolite of etretinate with the advantage of a much shorter half-life when compared with etretinate.,What is the mechanism of action of Acitretin?,Inhibits bacterial cell wall synthesis,Normalizes the growth cycle of skin cells,Blocks neurotransmitter reuptake,Reduces insulin resistance,Modulates immune system activity,B
40,DB00459,Acitretin,small molecule,Lipids and lipid-like molecules,unknown,An oral retinoid effective in the treatment of psoriasis. It is the major metabolite of etretinate with the advantage of a much shorter half-life when compared with etretinate.,How is Acitretin primarily metabolized?,Through renal filtration,By hepatic enzymes,Undergoes extensive metabolism and interconversion to its 13-cis form,Direct excretion in bile,Minimal metabolism,C
41,DB00459,Acitretin,small molecule,Lipids and lipid-like molecules,unknown,An oral retinoid effective in the treatment of psoriasis. It is the major metabolite of etretinate with the advantage of a much shorter half-life when compared with etretinate.,What is the primary route of elimination for Acitretin and its metabolites?,Inhalation,Intravenous,Feces and urine,Sweat,Saliva,C
42,DB00459,Acitretin,small molecule,Lipids and lipid-like molecules,unknown,An oral retinoid effective in the treatment of psoriasis. It is the major metabolite of etretinate with the advantage of a much shorter half-life when compared with etretinate.,What is the protein binding rate of Acitretin?,50%,75%,85%,Over 99.9%,Not bound to plasma proteins,D
43,DB00478,Rimantadine,small molecule,Organic nitrogen compounds,other,An RNA synthesis inhibitor that is used as an antiviral agent in the prophylaxis and treatment of influenza.,What is Rimantadine primarily used to treat?,Bacterial infections,Influenza A virus infections,Fungal infections,Chronic pain,High blood pressure,B
44,DB00478,Rimantadine,small molecule,Organic nitrogen compounds,other,An RNA synthesis inhibitor that is used as an antiviral agent in the prophylaxis and treatment of influenza.,Which of the following is NOT a known form of Rimantadine?,Tablet,Syrup,Injection,Film coated tablet,Kit,C
45,DB00478,Rimantadine,small molecule,Organic nitrogen compounds,other,An RNA synthesis inhibitor that is used as an antiviral agent in the prophylaxis and treatment of influenza.,What is the approximate half-life of Rimantadine in young adults?,5 to 10 hours,10 to 15 hours,15 to 20 hours,25 to 30 hours,35 to 40 hours,D
46,DB00478,Rimantadine,small molecule,Organic nitrogen compounds,other,An RNA synthesis inhibitor that is used as an antiviral agent in the prophylaxis and treatment of influenza.,Which of the following is a metabolic pathway involved in the metabolism of Rimantadine?,Oxidation,Reduction,Glucuronidation,Acetylation,Methylation,C
47,DB00479,Amikacin,small molecule,Organic oxygen compounds,inhibitor,"Amikacin is a semi-synthetic aminoglycoside antibiotic that is derived from kanamycin A.[FDA label] Amikacin is synthesized by acylation with the l-(-)-γ-amino-α-hydroxybutyryl side chain at the C-1 amino group of the deoxystreptamine moiety of kanamycin A.[A39531]

Amikacin's unique property is that it exerts activity against more resistant gram-negative bacilli such as Acinetobacter baumanii and Pseudomonas aeruginosa. Amikacin also exerts excellent activity against most aerobic gram-negative bacilli from the Enterobacteriaceae family, including Nocardia and some Mycobacterium (M. avium-intracellulare, M. chelonae, and M. fortuitum)[L4680]. M. avium-intracellulare (MAC) is a type of nontuberculous mycobacteria (NTM) found in water and soil. Symptoms of this disease include a persistent cough, fatigue, weight loss, night sweats, and shortness of breath and the coughing up of blood.[L4680]

Several forms of amikacin are used currently, including an intravenous (IV) or intramuscular (IM) injection.[F1949] In September 2018, a liposomal inhalation suspension of this drug was approved by the FDA for the treatment of lung disease caused by Mycobacterium avium complex (MAC) bacteria in a small population of patients with the disease who do not respond to traditional treatment.[L4680,L4681]",Which of the following bacteria is NOT typically targeted by Amikacin?,Pseudomonas aeruginosa,Escherichia coli,Staphylococcus aureus,Mycobacterium avium complex,Helicobacter pylori,E
48,DB00479,Amikacin,small molecule,Organic oxygen compounds,inhibitor,"Amikacin is a semi-synthetic aminoglycoside antibiotic that is derived from kanamycin A.[FDA label] Amikacin is synthesized by acylation with the l-(-)-γ-amino-α-hydroxybutyryl side chain at the C-1 amino group of the deoxystreptamine moiety of kanamycin A.[A39531]

Amikacin's unique property is that it exerts activity against more resistant gram-negative bacilli such as Acinetobacter baumanii and Pseudomonas aeruginosa. Amikacin also exerts excellent activity against most aerobic gram-negative bacilli from the Enterobacteriaceae family, including Nocardia and some Mycobacterium (M. avium-intracellulare, M. chelonae, and M. fortuitum)[L4680]. M. avium-intracellulare (MAC) is a type of nontuberculous mycobacteria (NTM) found in water and soil. Symptoms of this disease include a persistent cough, fatigue, weight loss, night sweats, and shortness of breath and the coughing up of blood.[L4680]

Several forms of amikacin are used currently, including an intravenous (IV) or intramuscular (IM) injection.[F1949] In September 2018, a liposomal inhalation suspension of this drug was approved by the FDA for the treatment of lung disease caused by Mycobacterium avium complex (MAC) bacteria in a small population of patients with the disease who do not respond to traditional treatment.[L4680,L4681]",What is a major side effect of Amikacin?,Hypertension,Ototoxicity,Hyperglycemia,Insomnia,Anxiety,B
